288_location_posts_from_319263962011984.xlsx,The State Historical Society of Missouri,38.948595889423,-92.330689430237,244,44
289_location_posts_from_1798257090463795.xlsx,The Understudy,38.950546755306,-92.32780204765601,162,127
28_location_posts_from_240036279402260.xlsx,The Newman Center,38.94327587712,-92.3308377312,22,6
2_location_posts_from_107202594467684.xlsx,EatWell,38.950181000055,-92.335227323288,0,2
302_location_posts_from_142726012417672.xlsx,Mizzou Law,38.9440706,-92.3283096,220,82
307_location_posts_from_123912425245.xlsx,Columbia Art League,38.94908,-92.32789,223,84
3773_location_posts_from_107388879288823.xlsx,Salon Nefisa,38.952638580824,-92.32762371662399,2087,1686
379_location_posts_from_25806989894.xlsx,Makes Scents,38.950829999999996,-92.32781,180,199
37_location_posts_from_244058476235755.xlsx,Whitmore Recital Hall,38.945183141602996,-92.32608675956699,29,8
382_location_posts_from_54178215824.xlsx,Top Ten Wines,nan,nan,275,107
3_location_posts_from_1411149382486832.xlsx,Conley Avenue Garage,38.9449915,-92.33195409999999,2,1
3_location_posts_from_2017711801588333.xlsx,Atkins park Columbia Missouri,38.9484,-92.3338,0,3
401_location_posts_from_144985395532639.xlsx,Breeze on Broadway,38.951211,-92.327063,331,70
41_location_posts_from_139954496056786.xlsx,International Cafe,38.95071,-92.32725,25,16
41_location_posts_from_148563351842786.xlsx,Lewis Hall,38.943436123239,-92.33317740636801,28,13
424_location_posts_from_115767221778054.xlsx,Delta Sigma Phi,38.942018881745,-92.331542217212,233,191
43_location_posts_from_145827422222763.xlsx,Islamic Center of Central Missouri,38.9491666667,-92.33194444440001,26,17
43_location_posts_from_183205915078395.xlsx,The Missouri Symphony - MOSY,38.949188408708,-92.328142507613,30,13
195_location_posts_from_132403403463369.xlsx,Jesse Hall,38.9453,-92.3288,125,70
195_location_posts_from_872251202888867.xlsx,Breakout CoMo,38.954272290001,-92.32821465000099,127,68
1964_location_posts_from_638907382787645.xlsx,Alpha Chi Omega at Mizzou,38.9411,-92.3309699,1402,562
1_location_posts_from_105689477841343.xlsx,Blind Boone Home - African American Heritge Trail,38.952117919921996,-92.332973906772,0,1
20_location_posts_from_137659440014.xlsx,"Monarch Title Company, Inc.",38.952220000000004,-92.33570999999999,15,5
214_location_posts_from_115182913362666.xlsx,The Atrium on Tenth,38.95219,-92.32603,163,51
2162_location_posts_from_110065458367.xlsx,"Jesse Auditorium, University of Missouri",38.945364630495,-92.328822612762,1504,658
2165_location_posts_from_132982473412746.xlsx,MU Student Center,38.942777958825005,-92.326668417648,1377,788
21_location_posts_from_208167899236753.xlsx,Beetle Bailey Statue,38.94414784,-92.32936238,11,10
444_location_posts_from_603748646633262.xlsx,Papa's Cat Café,38.950882088235005,-92.335088253021,258,186
44_location_posts_from_120255678025543.xlsx,Futures Lab - RJI,38.947298391793,-92.32807250417,20,24
45_location_posts_from_154063217941661.xlsx,J Slums,38.9472,-92.32729,26,19
476_location_posts_from_6369616934.xlsx,Campus Bar & Grill,38.948376725626,-92.327468076361,249,227
477_location_posts_from_137211849657310.xlsx,Lowry Mall,38.94502,-92.3266,294,183
48_location_posts_from_254867661280868.xlsx,"Second Missionary Baptist Church - Columbia, MO",38.9519901,-92.33274809999999,35,13
52_location_posts_from_2180610162264143.xlsx,"Breeze Bridal Boutique in Columbia, mo",38.951486953637,-92.32701967940201,43,9
53_location_posts_from_606603146129926.xlsx,Stoutland High,38.944536,-92.32937340000001,34,19
545_location_posts_from_309169313092.xlsx,La Siesta,38.95234,-92.32773,349,196
54_location_posts_from_716478915080947.xlsx,Flat Branch Creek,38.949284264615,-92.33287811888201,28,26
5_location_posts_from_805910356085929.xlsx,Discovery Days Preschool,38.949008902596,-92.327174926446,4,1
5_location_posts_from_929214890495345.xlsx,Lucky's Market,38.950140000000005,-92.33513,4,1
60_location_posts_from_106109666630.xlsx,Mizzou Business,38.942821914025004,-92.329612967898,45,15
61_location_posts_from_81281753994.xlsx,Columbia Chamber of Commerce,38.948827836,-92.333952127,53,8
641_location_posts_from_667667720283354.xlsx,Alpha Delta Pi,38.94169,-92.33157,440,201
65_location_posts_from_321465621220374.xlsx,Taco Bell,38.946757191940996,-92.33480972164101,44,21
666_location_posts_from_333784860295.xlsx,Yellow Dog Bookshop,38.950863189936,-92.32740114718,409,257
67_location_posts_from_996512367217113.xlsx,The City Worship Movement,38.948840000000004,-92.32715,55,12
68_location_posts_from_390414797645824.xlsx,Mizzou SHP Department of Physical Therapy,38.943476388175,-92.333632630266,46,22
692_location_posts_from_203667196339541.xlsx,Missouri United Methodist Church,38.948787799457996,-92.327291071415,526,166
695_location_posts_from_35079602549.xlsx,Tellers,38.951209999999996,-92.32772,432,263
698_location_posts_from_600943016741569.xlsx,U Centre on Turner,38.945327500000005,-92.33350878,409,289
713_location_posts_from_1372087582876197.xlsx,Silverball,38.94984,-92.32725,400,313
764_location_posts_from_174957669182754.xlsx,Lakota Coffee Company,38.95077,-92.32723,438,326
808_location_posts_from_154358691246003.xlsx,Shiloh Bar & Grill,38.951240000000006,-92.33266,513,295
81_location_posts_from_105603026141224.xlsx,First Christian Church,38.95286,-92.32683,68,13
81_location_posts_from_516725371696222.xlsx,Noodles & Company,38.946964633151005,-92.327309846878,45,36
820_location_posts_from_18446467215.xlsx,Billiards on Broadway,38.951240000000006,-92.33121,500,320
82_location_posts_from_195400221691.xlsx,Yogoluv: Frozen Yogurt & More,38.9492,-92.32786,46,36
835_location_posts_from_204398873062921.xlsx,9th Street Public House,38.952329999999996,-92.3273,561,274
83_location_posts_from_507162853081358.xlsx,Las Margaritas Downtown,38.94887,-92.32843000000001,47,36
886_location_posts_from_389793781425187.xlsx,Skylark Bookshop,38.95082,-92.32725,650,236
891_location_posts_from_110150395684079.xlsx,Kampai Alley,38.951128469000004,-92.32715748700001,585,306
94_location_posts_from_150766151646003.xlsx,Phi Kappa Psi - University of Missouri,38.9423,-92.33436,52,42
962_location_posts_from_541479362625092.xlsx,TODD,38.944578974867,-92.33279456582501,567,395
97_location_posts_from_733274016864759.xlsx,Traditions Plaza at Mizzou,38.944094448672,-92.328934432181,78,19
994_location_posts_from_121562918006701.xlsx,Nash Vegas,38.951681,-92.326623,624,370
