FID,fid_1,full_id,osm_id,highway,name,tiger_name,tiger_na_2,tiger_zip_,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_Angle,LocationNa,TotalPosts,sky,wall,building,fence,tree,plant,grass,road,sidewalk,streetlight,signboard,person,bicycle,car,truck,motorcycle,Very Positive,Positive,Neutral,Negative,Very Negative
178,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,56,192.5618885,-92.33068943,38.94859589,36.95306302,The State Historical Society of Missouri,288,0.413175669,0.343733948,0.347224657,0,0.274613464,0.330884564,0.048628394,0.444170078,0.344737545,0.086467337,0,0.444444444,0,0.66745283,0.111111111,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
179,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,65,196.428503,-92.3319541,38.9449915,177.7047793,Conley Avenue Garage,3,0.320743084,0.036309246,0.529273748,0.090630729,0.232588047,0.033477145,0.228606898,0.389127898,0.110301713,0.192744792,0.00510576,0.166666667,0,0.433962264,0.222222222,0.333333333,0,0,1,0,1
180,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,65,146.5980106,-92.3319541,38.9449915,176.243993,Conley Avenue Garage,3,0.366946661,0.001882442,0.722624466,0,0.015901907,0.007231988,0.004129321,0.555847878,0.375135253,0.028000567,0.001679526,0.166666667,0,0.398584906,0.277777778,0,0,0,1,0,1
181,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,65,96.96570263,-92.3319541,38.9449915,173.2647814,Conley Avenue Garage,3,0.441527271,0.027647093,0.329803099,0.011552511,0.22170384,0.083787921,0.184422407,0.445915812,0.416545681,0.024117897,0.017242016,0.111111111,0,0.264150943,0.166666667,0,0,0,1,0,1
182,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,65,48.11557618,-92.3319541,38.9449915,164.2494549,Conley Avenue Garage,3,0.376805697,0.012882325,0.338701387,0.035677277,0.346509334,0.010949876,0.130319259,0.475508175,0.455197741,0.286722403,0.019341424,0.481481481,0.090909091,0.511792453,0.333333333,0,0,0,1,0,1
183,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,65,15.77972263,-92.3319541,38.9449915,76.60130292,Conley Avenue Garage,3,0.229739454,0.109228345,0.399798088,0.000258372,0.417595054,0.17894572,0.129688402,0.254614558,0.717336118,0.016607624,0.0000134,0.138888889,0,0.349056604,0.222222222,0,0,0,1,0,1
184,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,107,53.21927426,-92.33279457,38.94457897,-81.8368031,TODD,962,0.438984844,0.012345319,0.479548616,0.001825093,0.145173567,0.059378099,0.335793336,0.173417616,0.377006869,0.008417174,0.013829219,0.296296296,0.090909091,0.433962264,0,0,0.613305613,0.147998961,0.208939709,0.05977131,0.335239085
185,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,31,34.88922598,-92.332008,38.943836,137.1637449,"Delta Chi, Missouri Chapter",156,0.249102178,0,0.495553387,0.023717968,0.194127723,0.010241588,0.062756708,0.606847935,0.031093904,0.011194559,0,0.222222222,0.121212121,0.327830189,0.222222222,0,0.621794872,0.190705128,0.365384615,0.048076923,0.221153846
186,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,31,41.22662735,-92.332008,38.943836,56.30081776,"Delta Chi, Missouri Chapter",156,0.368133677,0.001643124,0.295450038,0,0.305090439,0.007437018,0.41122891,0.467213109,0.440119165,0.109593312,0.023765296,0.148148148,0,0.235849057,0.111111111,0,0.621794872,0.190705128,0.365384615,0.048076923,0.221153846
187,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,69,46.14759551,-92.33317741,38.94343612,-62.70097346,Lewis Hall,41,0.227073308,0,0.412977107,0.00018141,0.325039282,0.02074661,0.382423454,0.368000186,0.4939564,0.149922063,0.003738625,0.5,0.363636364,0.405660377,0.333333333,0,0.682926829,0.259146341,0.219512195,0,0.182926829
188,41,w512711740,512711740,residential,South 5th Street,5th,St,65201,69,65.57596159,-92.33317741,38.94343612,-13.16790438,Lewis Hall,41,0.171735827,0,0.213330223,0,0.550460664,0.000796513,0.421144185,0.408138116,0.301899821,0.190392518,0.141906531,0.222222222,0.181818182,0.33490566,0.333333333,0,0.682926829,0.259146341,0.219512195,0,0.182926829
189,42,w512711741,512711741,residential,Elm Street,Elm,St,65201,71,67.30525481,-92.33194444,38.94916667,1.487900052,Islamic Center of Central Missouri,43,0.255066124,0.002612071,0.259470364,0,0.461223348,0.065174872,0.179860112,0.817892283,0.103655781,0.122630013,0.046858782,0.222222222,0.090909091,0.780660377,0.111111111,0,0.651162791,0.148255814,0.139534884,0.174418605,0.244186047
190,42,w512711741,512711741,residential,Elm Street,Elm,St,65201,71,84.75284666,-92.33194444,38.94916667,37.53940308,Islamic Center of Central Missouri,43,0.558870005,0.199302475,0.029705134,0.002460028,0.440420799,0,0.067939712,0.441190026,0.128019795,0.025903358,0.00641579,0.138888889,0,0.377358491,0.166666667,0.333333333,0.651162791,0.148255814,0.139534884,0.174418605,0.244186047
191,42,w512711741,512711741,residential,Elm Street,Elm,St,65201,66,63.67173394,-92.3338,38.9484,-88.88709788,Atkins park Columbia Missouri,3,0.75398805,0.050799673,0.049514386,0.024094531,0.266936099,0.00173344,0.189822743,0.501325096,0.214690481,0.280997591,0.022962483,0.222222222,0,0.143867925,0.111111111,0,0.333333333,0.708333333,0,0,0.5
192,43,w512711742,512711742,residential,Elm Street,Elm,St,65201,90,63.81712459,-92.32715,38.94884,-52.38023414,The City Worship Movement,67,0.288368551,0,0.490757753,0.010178194,0.14875935,0.031987256,0.110648539,0.80358391,0.268060756,0.045826839,0.030681585,0.277777778,0.090909091,0.603773585,0.388888889,0,0.895522388,0.095149254,0.044776119,0,0.067164179
193,43,w512711742,512711742,residential,Elm Street,Elm,St,65201,76,31.27258131,-92.32746808,38.94837673,-115.9509728,Campus Bar & Grill,476,0.170330928,0.297312048,0.461202626,0,0.367132212,0.489849122,0.0000634,0.369878264,0.225314538,0,0.003923373,0.25,0,0.363207547,0.185185185,0,0.523109244,0.160714286,0.283613445,0.147058824,0.37184874
194,44,w512711743,512711743,residential,South 6th Street,6th,St,65201,56,16.19463,-92.33068943,38.94859589,75.02683413,The State Historical Society of Missouri,288,0.586897875,0,0.153056722,0.016577015,0.331564579,0.046753185,0.088450164,0.801482378,0.110903573,0.253733881,0.025035018,0.37037037,0,0.29245283,0.111111111,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
195,44,w512711743,512711743,residential,South 6th Street,6th,St,65201,56,56.73520711,-92.33068943,38.94859589,17.23184836,The State Historical Society of Missouri,288,0.104425775,0.00206339,0.06499229,0.011585495,0.849016006,0.009339454,0.617075074,0.20597939,0.151751762,0.020036843,0.039099371,0.277777778,0,0.129716981,0.111111111,0.333333333,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
196,44,w512711743,512711743,residential,South 6th Street,6th,St,65201,56,105.7307744,-92.33068943,38.94859589,9.783622914,The State Historical Society of Missouri,288,0.274887983,0.098295587,0.081142467,0.002072471,0.679907639,0.015541318,0.356399347,0.325189454,0.451762988,0.05889188,0.042592785,0.305555556,0,0.150943396,0.166666667,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
197,44,w512711743,512711743,residential,South 6th Street,6th,St,65201,56,155.379615,-92.33068943,38.94859589,7.072111988,The State Historical Society of Missouri,288,0.262996517,0.001961242,0.104582724,0,0.638171327,0.080532284,0.486048004,0.294842934,0.078180496,0.078673657,0.019052546,0.138888889,0,0.285377358,0.407407407,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
198,44,w512711743,512711743,residential,South 6th Street,6th,St,65201,2,188.7582234,-92.3297,38.94535,145.8107455,University of Missouri College of Education,105,0.249658226,0.06316834,0.373814608,0.004089968,0.409200097,0.08720137,0.324337283,0.260036644,0.436371218,0.205384724,0.000799454,0.111111111,0.272727273,0.327830189,0.111111111,0,0.666666667,0.263095238,0.114285714,0,0.257142857
199,44,w512711743,512711743,residential,South 6th Street,6th,St,65201,2,150.5430116,-92.3297,38.94535,134.8255498,University of Missouri College of Education,105,0.00817027,0.346845085,0.123014301,0,0.920888464,0.138522388,0.211967842,0.25990164,0.319392442,0.090661754,0.009079519,0.111111111,0,0.391509434,0.111111111,0,0.666666667,0.263095238,0.114285714,0,0.257142857
200,45,w512711744,512711744,residential,Elm Street,Elm,St,65201,56,16.19463,-92.33068943,38.94859589,75.02683413,The State Historical Society of Missouri,288,0.586457297,0,0.135709707,0.015953075,0.352028477,0.046534486,0.084968614,0.805093555,0.108184826,0.249992915,0.025048454,0.166666667,0,0.349056604,0,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
201,45,w512711744,512711744,residential,Elm Street,Elm,St,65201,56,65.78701127,-92.33068943,38.94859589,86.47423259,The State Historical Society of Missouri,288,0.459032833,0.008653397,0.350893855,0,0.300285621,0.007387314,0.042682612,0.710543239,0.061092574,0.153209579,0.011219235,0.925925926,0,0.25,0.111111111,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
202,46,w512711745,512711745,residential,South 6th Street,6th,St,65201,71,103.4794579,-92.33194444,38.94916667,-112.4611378,Islamic Center of Central Missouri,43,0.694679186,0,0.200305352,0,0.198279739,0.080206721,0.056942848,0.82270652,0.145965226,0.371319257,0.010587733,0.638888889,0.363636364,0.58254717,0.148148148,0,0.651162791,0.148255814,0.139534884,0.174418605,0.244186047
203,46,w512711745,512711745,residential,South 6th Street,6th,St,65201,56,54.8009742,-92.33068943,38.94859589,164.8482412,The State Historical Society of Missouri,288,0.445844379,0.00184742,0.471396223,0.325573022,0.077758565,0,0.046807705,0.537348412,0.487584984,0.032535072,0.000198184,0.277777778,0,0.433962264,0.296296296,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
204,46,w512711745,512711745,residential,South 6th Street,6th,St,65201,56,15.71629249,-92.33068943,38.94859589,100.5984892,The State Historical Society of Missouri,288,0.188193213,0.001152813,0.482295683,0.317874096,0.32442677,0.00051444,0.043469069,0.428025524,0.222551453,0.085021964,0.01010403,0.416666667,0,0.193396226,0.555555556,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
205,47,w512711746,512711746,residential,Locust Street,Locust,St,65201,71,103.4794579,-92.33194444,38.94916667,-112.4611378,Islamic Center of Central Missouri,43,0.81094419,0,0.094954186,0,0.234772946,0.044378559,0.07327747,0.834848853,0.072630742,0.500042511,0.0094994,0.25,0,0.412735849,0.222222222,0.333333333,0.651162791,0.148255814,0.139534884,0.174418605,0.244186047
206,47,w512711746,512711746,residential,Locust Street,Locust,St,65201,56,108.3301973,-92.33068943,38.94859589,-160.1173374,The State Historical Society of Missouri,288,0.570855634,0.045201961,0.358638559,0.082995022,0.211090773,0.102540143,0.10316367,0.633875897,0.207140815,0.279098767,0.001021152,0.222222222,0,0.327830189,0.555555556,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
207,48,w512711747,512711747,residential,South 6th Street,6th,St,65201,100,85.78028995,-92.33121,38.95124,-23.76015249,Billiards on Broadway,820,0.396795263,0.071433575,0.547952423,0.000162169,0.122828032,0.065649549,0.020051263,0.740623078,0.175376186,0.346521185,0.063375243,0.259259259,0,0.087264151,0.111111111,0,0.613414634,0.235823171,0.168292683,0.143292683,0.243292683
208,48,w512711747,512711747,residential,South 6th Street,6th,St,65201,35,112.5365166,-92.332075,38.950355,-74.39808207,Flat Branch Home Loans,172,0.376543138,0.034645692,0.339066743,0.050539145,0.406567656,0.081838267,0.263859608,0.387368862,0.310773013,0.22596004,0,0.194444444,0,0.037735849,0,0,0.837209302,0.234738372,0.01744186,0,0.069767442
209,48,w512711747,512711747,residential,South 6th Street,6th,St,65201,71,108.9346465,-92.33194444,38.94916667,-118.3036224,Islamic Center of Central Missouri,43,0.658988294,0.006508289,0.241763056,0.00018141,0.195861268,0.098025742,0.038976118,0.737617089,0.285176978,0.160861556,0.021652452,0.333333333,0.363636364,0.172169811,0.111111111,0.666666667,0.651162791,0.148255814,0.139534884,0.174418605,0.244186047
210,49,w512711748,512711748,residential,Cherry Street,Cherry,St,65201,100,85.78028995,-92.33121,38.95124,-23.76015249,Billiards on Broadway,820,0.488601005,0.000192622,0.456579547,0.000450776,0.150905048,0.085706511,0.040987925,0.725784666,0.189459524,0.404591186,0.047604492,0.222222222,0,0.009433962,0,0,0.613414634,0.235823171,0.168292683,0.143292683,0.243292683
211,49,w512711748,512711748,residential,Cherry Street,Cherry,St,65201,36,114.7217162,-92.33113959,38.95127703,-43.15313944,Pedaler's Jamboree,17,0.284529135,0,0.644833236,0.043890198,0.144506065,0.016877123,0.019713848,0.591968291,0.257539524,0.215559019,0.025740419,0.666666667,0.363636364,0.094339623,0.111111111,0.333333333,0.352941177,1,0.176470588,0.147058824,0.088235294
212,50,w512711749,512711749,residential,South 8th Street,8th,St,65201,72,58.1481634,-92.32814251,38.94918841,125.7048974,The Missouri Symphony - MOSY,43,0.542894435,0.010544595,0.451286037,0.000720142,0.112523126,0.0000286,0.002992764,0.703889497,0.254093451,0.190647584,0.051044161,0.222222222,0.090909091,0.066037736,0.222222222,0.333333333,0.720930233,0.296511628,0.069767442,0.11627907,0.104651163
213,50,w512711749,512711749,residential,South 8th Street,8th,St,65201,103,30.49980366,-92.32843,38.94887,129.2174699,Las Margaritas Downtown,83,0.37289205,0.027851389,0.352116001,0.00066517,0.385014847,0.032365009,0.0000135,0.47327696,0.19704315,0.000340088,0.009210522,0.333333333,0,0.16509434,0.111111111,0,0.56626506,0.204819277,0.325301205,0.180722892,0.234939759
214,50,w512711749,512711749,residential,South 8th Street,8th,St,65201,103,39.57355521,-92.32843,38.94887,39.08719451,Las Margaritas Downtown,83,0.337043073,0.111072846,0.195669849,0,0.520115991,0.08221602,0.049569605,0.53238188,0.443692591,0.136828681,0.069465205,0.111111111,0.090909091,0.037735849,0.222222222,0,0.56626506,0.204819277,0.325301205,0.180722892,0.234939759
215,51,w512711750,512711750,residential,Locust Street,Locust,St,65201,72,58.1481634,-92.32814251,38.94918841,125.7048974,The Missouri Symphony - MOSY,43,0.602221857,0,0.420441583,0.000170415,0.116270067,0.002515042,0.004980892,0.727802403,0.225958849,0.422587502,0.033603961,0.222222222,0,0.16509434,0.111111111,0,0.720930233,0.296511628,0.069767442,0.11627907,0.104651163
216,51,w512711750,512711750,residential,Locust Street,Locust,St,65201,72,32.31677391,-92.32814251,38.94918841,-175.0835295,The Missouri Symphony - MOSY,43,0.099702456,0.001424235,0.925283921,0.003930548,0.074156448,0.004168955,0.023803423,0.287502868,0.494110167,0.047839025,0,0.388888889,0,0.29245283,0,0,0.720930233,0.296511628,0.069767442,0.11627907,0.104651163
217,52,w512711751,512711751,residential,South 9th Street,9th,St,65201,101,36.79783188,-92.32786,38.9492,-142.9934178,Yogoluv: Frozen Yogurt & More,82,0.344284763,0.210340299,0.582531875,0.000022,0.1251142,0,0.014432749,0.664418604,0.229268136,0.292362194,0.032045361,0.777777778,0.090909091,0.448113208,0.222222222,0,0.56097561,0.259146341,0.182926829,0.243902439,0.237804878
218,52,w512711751,512711751,residential,South 9th Street,9th,St,65201,61,25.39028558,-92.32789,38.94908,-73.27026004,Columbia Art League,307,0.28089042,0.012211067,0.629639242,0.008504276,0.166117674,0.002785931,0.051016516,0.382466839,0.300945147,0.008728922,0.022283954,0.148148148,0.181818182,0.412735849,0.333333333,0,0.64495114,0.408387622,0.068403909,0.105863192,0.146579805
219,52,w512711751,512711751,residential,South 9th Street,9th,St,65201,76,24.32165404,-92.32746808,38.94837673,148.5483891,Campus Bar & Grill,476,0.306473463,0.096483189,0.58631749,0.002619449,0.177808763,0.01633286,0.000611407,0.49287707,0.354687103,0.439053422,0.04683191,0.166666667,0,0.33490566,0.222222222,0,0.523109244,0.160714286,0.283613445,0.147058824,0.37184874
220,53,w512711752,512711752,residential,Locust Street,Locust,St,65201,101,36.79783188,-92.32786,38.9492,-142.9934178,Yogoluv: Frozen Yogurt & More,82,0.367245649,0.107573547,0.622264494,0,0.083211829,0,0.012750746,0.703009646,0.167651057,0.296499929,0.025784087,0.166666667,0.272727273,0.367924528,0.111111111,0,0.56097561,0.259146341,0.182926829,0.243902439,0.237804878
221,53,w512711752,512711752,residential,Locust Street,Locust,St,65201,95,46.97777863,-92.32725,38.94984,-24.22107086,Silverball,713,0,0.0093947,0.795569906,0.005464286,0.299074208,0.000262191,0.019740909,0.293613272,0.076643771,0.073742383,0,0.333333333,0,0.283018868,0.222222222,0,0.608695652,0.163920056,0.239831697,0.143758766,0.265077139
222,54,w512711753,512711753,residential,South 9th Street,9th,St,65201,75,36.8477818,-92.32729,38.9472,134.416492,J Slums,45,0.232523134,0,0.470899727,0,0.315454147,0.325929037,0.016748145,0.257673085,0.551477434,0.183307354,0.002939171,0.444444444,0,0.030660377,0.222222222,0,0.488888889,0.425,0.4,0.111111111,0.2
223,54,w512711753,512711753,residential,South 9th Street,9th,St,65201,99,24.67186491,-92.32730985,38.94696463,94.41719662,Noodles & Company,81,0.220957462,0.028855358,0.363575917,0.000546978,0.475777183,0.09502981,0.127941285,0.145392092,0.290924836,0.059118606,0.004239124,0.259259259,0.181818182,0.349056604,0.296296296,0,0.543209877,0.209876543,0.222222222,0.216049383,0.296296296
224,54,w512711753,512711753,residential,South 9th Street,9th,St,65201,15,42.63483815,-92.32726,38.94682,41.24988841,The Heidelberg,1218,0.030210824,0.009917114,0.150070379,0.261422638,0.867727846,0.24315757,0.066098727,0.092872415,0.819723088,0,0.103761131,0.185185185,0.090909091,0.29245283,0.166666667,0,0.683087028,0.170977011,0.18226601,0.104679803,0.200738916
225,54,w512711753,512711753,residential,South 9th Street,9th,St,65201,34,65.98842163,-92.32817431,38.9457109,-128.4752436,Swallow Hall,166,0.045733444,1,0.153302439,0.001847082,0.833214279,0.07118289,0.076190742,0.190732643,0.579160169,0,0.046684111,0.444444444,0,0.339622642,0.148148148,0,0.337349398,0.32003012,0.307228916,0.873493976,0.090361446
226,55,w512849204,512849204,residential,South 7th Street,7th,St,65201,56,128.5180856,-92.33068943,38.94859589,-141.8035235,The State Historical Society of Missouri,288,0.388101936,0.000297689,0.545436349,0,0.086959315,0.055578199,0.034545745,0.663432347,0.3454111,0.29525294,0.014907475,0.388888889,0,0.29245283,0.166666667,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
227,55,w512849204,512849204,residential,South 7th Street,7th,St,65201,56,93.96998836,-92.33068943,38.94859589,-122.8597468,The State Historical Society of Missouri,288,0.310277138,0.000957273,0.595038162,0.268129307,0.159420874,0.013906044,0.017200569,0.101372314,0.625380761,0.012611591,0,0.5,0,0.193396226,0.222222222,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
228,55,w512849204,512849204,residential,South 7th Street,7th,St,65201,56,77.89420281,-92.33068943,38.94859589,-90.72089394,The State Historical Society of Missouri,288,0.192977018,0.03433633,0.20726919,0.44507266,0.614077001,0.038520897,0.15436031,0.298204055,0.404132081,0.337112087,0.002045663,0.222222222,0,0.143867925,0.222222222,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
229,56,w512849205,512849205,residential,Locust Street,Locust,St,65201,56,128.5180856,-92.33068943,38.94859589,-141.8035235,The State Historical Society of Missouri,288,0.505250844,0.001071095,0.489947438,0,0.069751805,0.058581586,0.059321668,0.552356409,0.438308867,0.288252799,0.012646833,0.259259259,0,0.808962264,0.194444444,0,0.659722222,0.553385417,0.083333333,0.043402778,0.052083333
230,56,w512849205,512849205,residential,Locust Street,Locust,St,65201,103,96.38971303,-92.32843,38.94887,136.4729954,Las Margaritas Downtown,83,0.261410164,0.036662386,0.649450794,0,0.160693266,0.015192145,0.002001659,0.434869469,0.274848191,0.256312881,0,0.222222222,0,1,0.111111111,0,0.56626506,0.204819277,0.325301205,0.180722892,0.234939759
231,57,w518467748,518467748,residential,Elm Street,Elm,St,65201,76,19.41844291,-92.32746808,38.94837673,138.9788128,Campus Bar & Grill,476,0.42848728,0.044904273,0.341001653,0.005607215,0.306481523,0.012416155,0.006557189,0.535897291,0.421963366,0.127107836,0.023342056,0.333333333,0,0.419811321,0,0,0.523109244,0.160714286,0.283613445,0.147058824,0.37184874
232,57,w518467748,518467748,residential,Elm Street,Elm,St,65201,12,29.73453191,-92.3279,38.9486599,58.32893463,Shakespeare's Pizza - Downtown,1197,0.201532192,0.000478636,0.208325223,0,0.752278273,0.050864981,0.413562911,0.202886946,0.336596396,0.018704832,0.036029197,0.148148148,0,0.25,0.111111111,0,0.618212197,0.225459482,0.187969925,0.181704261,0.210526316
233,58,w518467749,518467749,residential,South 9th Street,9th,St,65201,76,19.41844291,-92.32746808,38.94837673,138.9788128,Campus Bar & Grill,476,0.481325636,0.072244922,0.280946721,0.000912547,0.337232359,0,0.002147957,0.542445957,0.173234772,0.047583959,0.001639218,0.388888889,0,0.25,0.138888889,0,0.523109244,0.160714286,0.283613445,0.147058824,0.37184874
234,58,w518467749,518467749,residential,South 9th Street,9th,St,65201,76,37.32984339,-92.32746808,38.94837673,18.69038281,Campus Bar & Grill,476,0.497917739,0.016416647,0.180368641,0.000011,0.45278429,0.251676902,0.021966666,0.203249394,0.329084465,0.168910302,0.002888785,0.388888889,0.090909091,0.405660377,0.333333333,0,0.523109244,0.160714286,0.283613445,0.147058824,0.37184874
